index,time,A,B,C
12103.0,9.682722757425247e-06,0.0,1220.4724409448818,0.0
12104.0,9.683522784092802e-06,0.0,1220.4724409448818,0.0
12105.0,9.684322810760359e-06,0.0,1181.1023622047244,0.0
12106.0,9.685122837427914e-06,-39.37007874015748,1220.4724409448818,0.0
12107.0,9.685922864095469e-06,0.0,1259.8425196850394,0.0
12108.0,9.686722890763026e-06,0.0,1220.4724409448818,-39.37007874015748
12109.0,9.68752291743058e-06,0.0,1181.1023622047244,0.0
12110.0,9.688322944098136e-06,-39.37007874015748,1220.4724409448818,0.0
12111.0,9.689122970765693e-06,-39.37007874015748,1181.1023622047244,0.0
12112.0,9.689922997433248e-06,0.0,1220.4724409448818,39.37007874015748
12113.0,9.690723024100803e-06,0.0,1181.1023622047244,-78.74015748031496
12114.0,9.691523050768358e-06,-39.37007874015748,1181.1023622047244,-39.37007874015748
12115.0,9.692323077435915e-06,0.0,1181.1023622047244,0.0
12116.0,9.69312310410347e-06,0.0,1220.4724409448818,-39.37007874015748
12117.0,9.693923130771025e-06,-39.37007874015748,1181.1023622047244,0.0
12118.0,9.694723157438582e-06,0.0,1181.1023622047244,39.37007874015748
12119.0,9.695523184106137e-06,-39.37007874015748,1181.1023622047244,0.0
12120.0,9.696323210773692e-06,0.0,1220.4724409448818,0.0
12121.0,9.697123237441248e-06,0.0,1181.1023622047244,0.0
12122.0,9.697923264108804e-06,-39.37007874015748,1181.1023622047244,0.0
12123.0,9.698723290776359e-06,-39.37007874015748,1220.4724409448818,-39.37007874015748
12124.0,9.699523317443914e-06,-39.37007874015748,1181.1023622047244,-39.37007874015748
12125.0,9.70032334411147e-06,0.0,1141.732283464567,39.37007874015748
12126.0,9.701123370779026e-06,0.0,1181.1023622047244,0.0
12127.0,9.70192339744658e-06,0.0,1181.1023622047244,0.0
12128.0,9.702723424114137e-06,-39.37007874015748,1220.4724409448818,-39.37007874015748
12129.0,9.703523450781692e-06,0.0,1181.1023622047244,0.0
12130.0,9.704323477449248e-06,0.0,1181.1023622047244,0.0
12131.0,9.705123504116804e-06,0.0,1181.1023622047244,-39.37007874015748
12132.0,9.70592353078436e-06,0.0,1181.1023622047244,0.0
12133.0,9.706723557451914e-06,-39.37007874015748,1181.1023622047244,0.0
12134.0,9.70752358411947e-06,-39.37007874015748,1181.1023622047244,0.0
12135.0,9.708323610787026e-06,-39.37007874015748,1181.1023622047244,-39.37007874015748
12136.0,9.709123637454581e-06,0.0,1220.4724409448818,-39.37007874015748
12137.0,9.709923664122136e-06,0.0,1220.4724409448818,0.0
12138.0,9.710723690789693e-06,-39.37007874015748,1181.1023622047244,0.0
12139.0,9.711523717457248e-06,0.0,1181.1023622047244,0.0
12140.0,9.712323744124803e-06,-39.37007874015748,1181.1023622047244,-39.37007874015748
12141.0,9.71312377079236e-06,0.0,1181.1023622047244,0.0
12142.0,9.713923797459915e-06,-39.37007874015748,1181.1023622047244,0.0
12143.0,9.71472382412747e-06,-39.37007874015748,1220.4724409448818,0.0
12144.0,9.715523850795025e-06,-39.37007874015748,1181.1023622047244,39.37007874015748
12145.0,9.716323877462582e-06,0.0,1220.4724409448818,39.37007874015748
12146.0,9.717123904130137e-06,0.0,1259.8425196850394,0.0
12147.0,9.717923930797692e-06,-39.37007874015748,1220.4724409448818,0.0
12148.0,9.718723957465249e-06,-39.37007874015748,1181.1023622047244,0.0
12149.0,9.719523984132804e-06,-39.37007874015748,1220.4724409448818,0.0
12150.0,9.72032401080036e-06,-39.37007874015748,1181.1023622047244,-39.37007874015748
12151.0,9.721124037467916e-06,-39.37007874015748,1220.4724409448818,-39.37007874015748
12152.0,9.721924064135471e-06,-39.37007874015748,1181.1023622047244,0.0
12153.0,9.722724090803026e-06,-39.37007874015748,1181.1023622047244,-39.37007874015748
12154.0,9.723524117470581e-06,-39.37007874015748,1181.1023622047244,39.37007874015748
12155.0,9.724324144138138e-06,-39.37007874015748,1181.1023622047244,0.0
12156.0,9.725124170805693e-06,-39.37007874015748,1181.1023622047244,0.0
12157.0,9.725924197473248e-06,-39.37007874015748,1220.4724409448818,0.0
12158.0,9.726724224140805e-06,-39.37007874015748,1220.4724409448818,0.0
12159.0,9.72752425080836e-06,-39.37007874015748,1181.1023622047244,0.0
12160.0,9.728324277475915e-06,-78.74015748031496,1220.4724409448818,-78.74015748031496
12161.0,9.729124304143472e-06,-78.74015748031496,1220.4724409448818,0.0
12162.0,9.729924330811027e-06,-78.74015748031496,1220.4724409448818,39.37007874015748
12163.0,9.730724357478582e-06,-39.37007874015748,1220.4724409448818,0.0
12164.0,9.731524384146137e-06,-78.74015748031496,1220.4724409448818,0.0
12165.0,9.732324410813694e-06,-78.74015748031496,1220.4724409448818,-39.37007874015748
12166.0,9.733124437481249e-06,-78.74015748031496,1141.732283464567,0.0
12167.0,9.733924464148804e-06,-78.74015748031496,1181.1023622047244,-39.37007874015748
12168.0,9.734724490816361e-06,-78.74015748031496,1220.4724409448818,-39.37007874015748
12169.0,9.735524517483916e-06,-118.11023622047244,1220.4724409448818,0.0
12170.0,9.736324544151471e-06,-78.74015748031496,1220.4724409448818,39.37007874015748
12171.0,9.737124570819028e-06,-78.74015748031496,1220.4724409448818,0.0
12172.0,9.737924597486583e-06,-39.37007874015748,1181.1023622047244,0.0
12173.0,9.738724624154138e-06,-39.37007874015748,1220.4724409448818,-39.37007874015748
12174.0,9.739524650821693e-06,-118.11023622047244,1220.4724409448818,0.0
12175.0,9.74032467748925e-06,-78.74015748031496,1220.4724409448818,0.0
12176.0,9.741124704156805e-06,-118.11023622047244,1220.4724409448818,0.0
12177.0,9.74192473082436e-06,-78.74015748031496,1181.1023622047244,-39.37007874015748
12178.0,9.742724757491917e-06,-118.11023622047244,1220.4724409448818,0.0
12179.0,9.743524784159472e-06,-78.74015748031496,1259.8425196850394,0.0
12180.0,9.744324810827027e-06,-78.74015748031496,1220.4724409448818,0.0
12181.0,9.745124837494584e-06,-78.74015748031496,1220.4724409448818,39.37007874015748
12182.0,9.745924864162139e-06,-118.11023622047244,1181.1023622047244,0.0
12183.0,9.746724890829694e-06,-78.74015748031496,1220.4724409448818,0.0
12184.0,9.747524917497249e-06,-78.74015748031496,1220.4724409448818,0.0
12185.0,9.748324944164806e-06,-118.11023622047244,1220.4724409448818,-39.37007874015748
12186.0,9.74912497083236e-06,-118.11023622047244,1220.4724409448818,0.0
12187.0,9.749924997499916e-06,-118.11023622047244,1220.4724409448818,0.0
12188.0,9.750725024167473e-06,-118.11023622047244,1220.4724409448818,-39.37007874015748
12189.0,9.751525050835028e-06,-118.11023622047244,1220.4724409448818,0.0
12190.0,9.752325077502583e-06,-78.74015748031496,1220.4724409448818,0.0
12191.0,9.75312510417014e-06,-78.74015748031496,1181.1023622047244,0.0
12192.0,9.753925130837695e-06,-118.11023622047244,1220.4724409448818,0.0
12193.0,9.75472515750525e-06,-118.11023622047244,1181.1023622047244,-39.37007874015748
12194.0,9.755525184172805e-06,-118.11023622047244,1220.4724409448818,0.0
12195.0,9.756325210840362e-06,-118.11023622047244,1220.4724409448818,-39.37007874015748
12196.0,9.757125237507917e-06,-118.11023622047244,1220.4724409448818,0.0
12197.0,9.757925264175472e-06,-118.11023622047244,1220.4724409448818,0.0
12198.0,9.758725290843028e-06,-118.11023622047244,1220.4724409448818,39.37007874015748
12199.0,9.759525317510584e-06,-118.11023622047244,1220.4724409448818,0.0
12200.0,9.760325344178139e-06,-78.74015748031496,1181.1023622047244,0.0
12201.0,9.761125370845694e-06,-157.48031496062993,1220.4724409448818,0.0
12202.0,9.76192539751325e-06,-118.11023622047244,1181.1023622047244,0.0
12203.0,9.762725424180806e-06,-157.48031496062993,1181.1023622047244,0.0
12204.0,9.76352545084836e-06,-118.11023622047244,1181.1023622047244,-39.37007874015748
12205.0,9.764325477515917e-06,-118.11023622047244,1220.4724409448818,0.0
12206.0,9.765125504183473e-06,-118.11023622047244,1220.4724409448818,0.0
12207.0,9.765925530851028e-06,-118.11023622047244,1181.1023622047244,0.0
12208.0,9.766725557518584e-06,-118.11023622047244,1181.1023622047244,0.0
12209.0,9.76752558418614e-06,-157.48031496062993,1220.4724409448818,0.0
12210.0,9.768325610853695e-06,-118.11023622047244,1181.1023622047244,-39.37007874015748
12211.0,9.76912563752125e-06,-118.11023622047244,1181.1023622047244,-39.37007874015748
12212.0,9.769925664188806e-06,-118.11023622047244,1220.4724409448818,-39.37007874015748
12213.0,9.770725690856361e-06,-118.11023622047244,1220.4724409448818,0.0
12214.0,9.771525717523917e-06,-78.74015748031496,1220.4724409448818,0.0
12215.0,9.772325744191473e-06,-118.11023622047244,1181.1023622047244,0.0
12216.0,9.773125770859028e-06,-118.11023622047244,1220.4724409448818,0.0
12217.0,9.773925797526583e-06,-118.11023622047244,1181.1023622047244,39.37007874015748
12218.0,9.77472582419414e-06,-118.11023622047244,1220.4724409448818,-39.37007874015748
12219.0,9.775525850861695e-06,-118.11023622047244,1181.1023622047244,-39.37007874015748
12220.0,9.77632587752925e-06,-118.11023622047244,1220.4724409448818,0.0
12221.0,9.777125904196805e-06,-118.11023622047244,1181.1023622047244,-39.37007874015748
12222.0,9.777925930864362e-06,-118.11023622047244,1181.1023622047244,0.0
12223.0,9.778725957531917e-06,-157.48031496062993,1181.1023622047244,0.0
12224.0,9.779525984199472e-06,-157.48031496062993,1181.1023622047244,0.0
12225.0,9.78032601086703e-06,-118.11023622047244,1181.1023622047244,0.0
12226.0,9.781126037534584e-06,-157.48031496062993,1220.4724409448818,0.0
12227.0,9.78192606420214e-06,-118.11023622047244,1220.4724409448818,39.37007874015748
12228.0,9.782726090869696e-06,-118.11023622047244,1181.1023622047244,0.0
12229.0,9.783526117537251e-06,-157.48031496062993,1220.4724409448818,0.0
12230.0,9.784326144204806e-06,-118.11023622047244,1220.4724409448818,0.0
12231.0,9.785126170872361e-06,-118.11023622047244,1220.4724409448818,0.0
12232.0,9.785926197539918e-06,-157.48031496062993,1220.4724409448818,0.0
12233.0,9.786726224207473e-06,-157.48031496062993,1220.4724409448818,0.0
12234.0,9.787526250875028e-06,-118.11023622047244,1220.4724409448818,39.37007874015748
12235.0,9.788326277542585e-06,-157.48031496062993,1220.4724409448818,0.0
12236.0,9.78912630421014e-06,-118.11023622047244,1181.1023622047244,0.0
12237.0,9.789926330877695e-06,-118.11023622047244,1220.4724409448818,0.0
12238.0,9.790726357545252e-06,-118.11023622047244,1220.4724409448818,-39.37007874015748
12239.0,9.791526384212807e-06,-118.11023622047244,1181.1023622047244,39.37007874015748
12240.0,9.792326410880362e-06,-157.48031496062993,1220.4724409448818,0.0
12241.0,9.793126437547917e-06,-157.48031496062993,1220.4724409448818,0.0
12242.0,9.793926464215474e-06,-157.48031496062993,1181.1023622047244,0.0
12243.0,9.794726490883029e-06,-157.48031496062993,1181.1023622047244,0.0
12244.0,9.795526517550584e-06,-157.48031496062993,1220.4724409448818,0.0
12245.0,9.796326544218141e-06,-118.11023622047244,1220.4724409448818,0.0
12246.0,9.797126570885696e-06,-118.11023622047244,1181.1023622047244,0.0
12247.0,9.797926597553251e-06,-118.11023622047244,1181.1023622047244,-39.37007874015748
12248.0,9.798726624220808e-06,-157.48031496062993,1181.1023622047244,0.0
12249.0,9.799526650888363e-06,-118.11023622047244,1181.1023622047244,0.0
12250.0,9.800326677555918e-06,-157.48031496062993,1181.1023622047244,39.37007874015748
12251.0,9.801126704223473e-06,-157.48031496062993,1181.1023622047244,39.37007874015748
12252.0,9.80192673089103e-06,-157.48031496062993,1181.1023622047244,-39.37007874015748
12253.0,9.802726757558585e-06,-157.48031496062993,1220.4724409448818,0.0
12254.0,9.80352678422614e-06,-157.48031496062993,1220.4724409448818,-39.37007874015748
12255.0,9.804326810893697e-06,-157.48031496062993,1181.1023622047244,0.0
12256.0,9.805126837561252e-06,-157.48031496062993,1181.1023622047244,-39.37007874015748
12257.0,9.805926864228807e-06,-157.48031496062993,1181.1023622047244,-39.37007874015748
12258.0,9.806726890896364e-06,-157.48031496062993,1181.1023622047244,0.0
12259.0,9.807526917563919e-06,-196.8503937007874,1181.1023622047244,0.0
12260.0,9.808326944231474e-06,-157.48031496062993,1181.1023622047244,39.37007874015748
12261.0,9.809126970899029e-06,-157.48031496062993,1181.1023622047244,39.37007874015748
12262.0,9.809926997566586e-06,-157.48031496062993,1181.1023622047244,0.0
12263.0,9.81072702423414e-06,-196.8503937007874,1141.732283464567,0.0
12264.0,9.811527050901696e-06,-118.11023622047244,1141.732283464567,-39.37007874015748
12265.0,9.812327077569253e-06,-118.11023622047244,1141.732283464567,0.0
12266.0,9.813127104236808e-06,-157.48031496062993,1181.1023622047244,-39.37007874015748
