index,time,A,B,C,E,H
12601.0,6.0808e-06,-629.9212598425197,669.2913385826772,-39.37007874015748,787.4015748031496,-708.6614173228346
12602.0,6.0816e-06,-590.5511811023622,669.2913385826772,-39.37007874015748,787.4015748031496,-669.2913385826772
12603.0,6.0824e-06,-629.9212598425197,748.0314960629921,0.0,787.4015748031496,-748.0314960629921
12604.0,6.0832000000000005e-06,-590.5511811023622,669.2913385826772,-39.37007874015748,787.4015748031496,-708.6614173228346
12605.0,6.0840000000000005e-06,-629.9212598425197,629.9212598425197,-39.37007874015748,748.0314960629921,-669.2913385826772
12606.0,6.084800000000001e-06,-590.5511811023622,708.6614173228346,-39.37007874015748,787.4015748031496,-669.2913385826772
12607.0,6.085600000000001e-06,-629.9212598425197,787.4015748031496,0.0,748.0314960629921,-669.2913385826772
12608.0,6.086400000000001e-06,-590.5511811023622,748.0314960629921,-39.37007874015748,826.7716535433071,-669.2913385826772
12609.0,6.087200000000001e-06,-590.5511811023622,708.6614173228346,39.37007874015748,787.4015748031496,-708.6614173228346
12610.0,6.088000000000001e-06,-590.5511811023622,708.6614173228346,0.0,787.4015748031496,-669.2913385826772
12611.0,6.088800000000001e-06,-551.1811023622047,708.6614173228346,-39.37007874015748,787.4015748031496,-708.6614173228346
12612.0,6.089600000000001e-06,-590.5511811023622,708.6614173228346,-39.37007874015748,787.4015748031496,-669.2913385826772
12613.0,6.090400000000001e-06,-590.5511811023622,669.2913385826772,0.0,787.4015748031496,-669.2913385826772
12614.0,6.091200000000001e-06,-590.5511811023622,629.9212598425197,-39.37007874015748,748.0314960629921,-590.5511811023622
12615.0,6.092000000000001e-06,-551.1811023622047,590.5511811023622,0.0,708.6614173228346,-669.2913385826772
12616.0,6.092800000000001e-06,-511.81102362204723,708.6614173228346,-39.37007874015748,708.6614173228346,-629.9212598425197
12617.0,6.093600000000001e-06,-433.07086614173227,748.0314960629921,-39.37007874015748,748.0314960629921,-590.5511811023622
12618.0,6.094400000000001e-06,-551.1811023622047,708.6614173228346,0.0,708.6614173228346,-590.5511811023622
12619.0,6.095200000000001e-06,-511.81102362204723,629.9212598425197,0.0,669.2913385826772,-590.5511811023622
12620.0,6.096e-06,-472.4409448818898,629.9212598425197,-39.37007874015748,669.2913385826772,-511.81102362204723
12621.0,6.0968e-06,-433.07086614173227,629.9212598425197,-39.37007874015748,669.2913385826772,-511.81102362204723
12622.0,6.0976e-06,-433.07086614173227,708.6614173228346,-39.37007874015748,590.5511811023622,-551.1811023622047
12623.0,6.0984e-06,-433.07086614173227,708.6614173228346,0.0,511.81102362204723,-511.81102362204723
12624.0,6.0992e-06,-433.07086614173227,629.9212598425197,-39.37007874015748,511.81102362204723,-472.4409448818898
12625.0,6.1e-06,-354.3307086614173,590.5511811023622,-39.37007874015748,590.5511811023622,-433.07086614173227
12626.0,6.1008e-06,-354.3307086614173,669.2913385826772,0.0,511.81102362204723,-393.7007874015748
12627.0,6.1016e-06,-314.96062992125985,748.0314960629921,-39.37007874015748,472.4409448818898,-472.4409448818898
12628.0,6.1024e-06,-275.59055118110234,708.6614173228346,-39.37007874015748,433.07086614173227,-393.7007874015748
12629.0,6.1032e-06,-275.59055118110234,629.9212598425197,-39.37007874015748,472.4409448818898,-354.3307086614173
12630.0,6.104e-06,-275.59055118110234,590.5511811023622,0.0,433.07086614173227,-354.3307086614173
12631.0,6.1048e-06,-275.59055118110234,629.9212598425197,0.0,393.7007874015748,-314.96062992125985
12632.0,6.1056000000000005e-06,-196.8503937007874,708.6614173228346,-78.74015748031496,354.3307086614173,-354.3307086614173
12633.0,6.1064000000000005e-06,-275.59055118110234,669.2913385826772,0.0,314.96062992125985,-314.96062992125985
12634.0,6.107200000000001e-06,-236.2204724409449,629.9212598425197,0.0,275.59055118110234,-354.3307086614173
12635.0,6.108000000000001e-06,-196.8503937007874,629.9212598425197,-39.37007874015748,314.96062992125985,-236.2204724409449
12636.0,6.108800000000001e-06,-196.8503937007874,669.2913385826772,-39.37007874015748,314.96062992125985,-275.59055118110234
12637.0,6.109600000000001e-06,-196.8503937007874,748.0314960629921,0.0,275.59055118110234,-236.2204724409449
12638.0,6.110400000000001e-06,-196.8503937007874,669.2913385826772,0.0,275.59055118110234,-196.8503937007874
12639.0,6.111200000000001e-06,-157.48031496062993,669.2913385826772,-39.37007874015748,275.59055118110234,-196.8503937007874
12640.0,6.112000000000001e-06,-118.11023622047244,590.5511811023622,-39.37007874015748,196.8503937007874,-275.59055118110234
12641.0,6.112800000000001e-06,-118.11023622047244,669.2913385826772,39.37007874015748,157.48031496062993,-118.11023622047244
12642.0,6.113600000000001e-06,-118.11023622047244,708.6614173228346,-39.37007874015748,157.48031496062993,-118.11023622047244
12643.0,6.114400000000001e-06,-118.11023622047244,669.2913385826772,0.0,118.11023622047244,-157.48031496062993
12644.0,6.115200000000001e-06,-118.11023622047244,669.2913385826772,-39.37007874015748,78.74015748031496,-118.11023622047244
12645.0,6.116000000000001e-06,-39.37007874015748,629.9212598425197,-39.37007874015748,118.11023622047244,-78.74015748031496
12646.0,6.116800000000001e-06,0.0,669.2913385826772,-39.37007874015748,118.11023622047244,-78.74015748031496
12647.0,6.117600000000001e-06,-39.37007874015748,708.6614173228346,0.0,118.11023622047244,-39.37007874015748
12648.0,6.1184e-06,0.0,748.0314960629921,0.0,78.74015748031496,-39.37007874015748
12649.0,6.1192e-06,0.0,669.2913385826772,-39.37007874015748,39.37007874015748,-39.37007874015748
12650.0,6.12e-06,0.0,708.6614173228346,-39.37007874015748,39.37007874015748,39.37007874015748
12651.0,6.1208e-06,39.37007874015748,629.9212598425197,0.0,-39.37007874015748,39.37007874015748
12652.0,6.1216e-06,39.37007874015748,669.2913385826772,0.0,-78.74015748031496,78.74015748031496
12653.0,6.1224e-06,78.74015748031496,669.2913385826772,0.0,-118.11023622047244,78.74015748031496
12654.0,6.1232e-06,157.48031496062993,669.2913385826772,-39.37007874015748,-118.11023622047244,39.37007874015748
12655.0,6.124e-06,157.48031496062993,669.2913385826772,0.0,-78.74015748031496,78.74015748031496
12656.0,6.1248e-06,157.48031496062993,669.2913385826772,-39.37007874015748,-39.37007874015748,78.74015748031496
12657.0,6.1256e-06,118.11023622047244,708.6614173228346,0.0,-78.74015748031496,196.8503937007874
12658.0,6.1264e-06,196.8503937007874,708.6614173228346,-39.37007874015748,-118.11023622047244,196.8503937007874
12659.0,6.1272e-06,196.8503937007874,748.0314960629921,0.0,-157.48031496062993,196.8503937007874
12660.0,6.1280000000000005e-06,236.2204724409449,708.6614173228346,-39.37007874015748,-236.2204724409449,157.48031496062993
12661.0,6.1288000000000005e-06,236.2204724409449,669.2913385826772,-39.37007874015748,-236.2204724409449,236.2204724409449
12662.0,6.1296000000000006e-06,275.59055118110234,629.9212598425197,-39.37007874015748,-275.59055118110234,275.59055118110234
12663.0,6.130400000000001e-06,275.59055118110234,669.2913385826772,-39.37007874015748,-236.2204724409449,275.59055118110234
12664.0,6.131200000000001e-06,275.59055118110234,708.6614173228346,0.0,-314.96062992125985,314.96062992125985
12665.0,6.132000000000001e-06,275.59055118110234,669.2913385826772,0.0,-314.96062992125985,275.59055118110234
12666.0,6.132800000000001e-06,314.96062992125985,708.6614173228346,-39.37007874015748,-275.59055118110234,314.96062992125985
12667.0,6.133600000000001e-06,314.96062992125985,708.6614173228346,0.0,-354.3307086614173,393.7007874015748
12668.0,6.134400000000001e-06,314.96062992125985,748.0314960629921,-39.37007874015748,-433.07086614173227,354.3307086614173
12669.0,6.135200000000001e-06,354.3307086614173,748.0314960629921,0.0,-472.4409448818898,354.3307086614173
12670.0,6.136000000000001e-06,314.96062992125985,708.6614173228346,-39.37007874015748,-472.4409448818898,433.07086614173227
12671.0,6.136800000000001e-06,314.96062992125985,629.9212598425197,-39.37007874015748,-433.07086614173227,433.07086614173227
12672.0,6.137600000000001e-06,354.3307086614173,708.6614173228346,0.0,-472.4409448818898,393.7007874015748
12673.0,6.138400000000001e-06,433.07086614173227,708.6614173228346,0.0,-472.4409448818898,393.7007874015748
12674.0,6.139200000000001e-06,433.07086614173227,669.2913385826772,-39.37007874015748,-472.4409448818898,393.7007874015748
12675.0,6.140000000000001e-06,393.7007874015748,669.2913385826772,-39.37007874015748,-472.4409448818898,433.07086614173227
12676.0,6.1408e-06,433.07086614173227,669.2913385826772,-39.37007874015748,-511.81102362204723,472.4409448818898
12677.0,6.1416e-06,433.07086614173227,669.2913385826772,-39.37007874015748,-551.1811023622047,472.4409448818898
12678.0,6.1424e-06,472.4409448818898,708.6614173228346,-39.37007874015748,-629.9212598425197,393.7007874015748
12679.0,6.1432e-06,433.07086614173227,669.2913385826772,-39.37007874015748,-590.5511811023622,472.4409448818898
12680.0,6.144e-06,472.4409448818898,669.2913385826772,-39.37007874015748,-551.1811023622047,511.81102362204723
12681.0,6.1448e-06,472.4409448818898,629.9212598425197,-39.37007874015748,-590.5511811023622,472.4409448818898
12682.0,6.1456e-06,472.4409448818898,669.2913385826772,-39.37007874015748,-629.9212598425197,511.81102362204723
12683.0,6.1464e-06,472.4409448818898,669.2913385826772,0.0,-590.5511811023622,511.81102362204723
12684.0,6.1472e-06,511.81102362204723,669.2913385826772,0.0,-629.9212598425197,472.4409448818898
12685.0,6.148e-06,472.4409448818898,708.6614173228346,39.37007874015748,-669.2913385826772,511.81102362204723
12686.0,6.1488e-06,472.4409448818898,748.0314960629921,39.37007874015748,-669.2913385826772,551.1811023622047
12687.0,6.1496e-06,511.81102362204723,748.0314960629921,0.0,-629.9212598425197,472.4409448818898
12688.0,6.1504000000000004e-06,511.81102362204723,708.6614173228346,-39.37007874015748,-669.2913385826772,511.81102362204723
12689.0,6.1512000000000005e-06,472.4409448818898,669.2913385826772,0.0,-629.9212598425197,472.4409448818898
12690.0,6.1520000000000006e-06,511.81102362204723,629.9212598425197,0.0,-629.9212598425197,551.1811023622047
12691.0,6.152800000000001e-06,511.81102362204723,708.6614173228346,0.0,-669.2913385826772,551.1811023622047
12692.0,6.153600000000001e-06,472.4409448818898,708.6614173228346,-39.37007874015748,-708.6614173228346,511.81102362204723
12693.0,6.154400000000001e-06,511.81102362204723,708.6614173228346,0.0,-669.2913385826772,551.1811023622047
